ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
Surat Kuasa		Surat pelimpahan wewenang kepada piahk yang ditunjuk. Biasanya dipakai ketika pengambilan BPKB diwakilkan	Service																				
Survey	Survey	Proses pengumpulan informasi mengenai kondisi customer, apakah layak diberi kredit atau tidak	Underwriting																				
Survey Parameter		Paremeter / Standar yang digunakan surveyor ketika melakukan survey	Surveyor																				
Surveyor		Officer yang melakukan survey	Underwriting																				
SUW	Sales UnderWriter	Jabatan cabang yang bertanggung jawab atas penjualan dan proses analisa credit untuk area BPR dan bertnggnng jawab pada SH dan BM	Sales																				
SW	Sundawani Wirabuana	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Sunda. Ormas ini diketuai oleh Robby Maulana Zulkarnaen.	REMO	Ormas																			
Swipe In		Absen masuk kantor	Operation																				
Swipe Out		Absen keluar kantor	Operation																				
Take Over Kredit		Proses peralihan kredit antara kreditur utama dengan kreditur lainnya	Service																				
TAKSASI		Penilaian Nilai Unit	National Remarketing																				
Takwim		tanggal kadaluarsa dokumen	AR																				
Tanggal jatuh tempo		Hari pembayaran harus dilakukan oleh debitur kepada kreditur, setelah tanggal tersebut akan disebut menunggak.	umum																				
Tanggungan		Jumlah anak customer yang berusia dibawah 21 tahun	Underwriting																				
TAP	Ketetapan	Peraturan yang dikeluarkan oleh top management yang mengatur secara global	HC IR																				
Target		Angka yang harus dicapai	AR																				
Task Force		Perpindahan sementara ARHO/ARRO ke cabang yang membutuhkan 	AR																				
Tax		Pajak penghasilan badan yang dikenakan ke perusahaan	Finance																				
TBP	Total Bayar Pertama	Total Pembayaran Pertama yang harus dibayarkan oleh customer kepada dealer.	Sales 	Meliputi ; 1. DP 2. Angsuran (Jika ADDM) 3. Premi Asuransi 4. Polis 5. Admin  																			
TDP	Total Down Payment	Total Uang muka yang dibayar customer kepada dealer untuk proses kredit	Sales	DP + Biaya Admin + Premi Asuransi (cash) + angsuran bulan pertama (apabila ADDM)																			
TDP	Tanda Daftar Perusahaan	Daftar catatan resmi yang diadakan menurut atau berdasarkan ketentuan undang-undang atau peraturan-peraturan pelaksanaannya, dan memuat hal-hal yang wajib didaftarkan oleh setiap perusahaan serta disahkan oleh pejabat yang berwenang	Underwriting																				
Team work		Salah satu value ACC : Bersinergi melalui interaksi yang positif dan terbuka, dengan komitmen mencapai target perusahaan	HC OD																				
tebus gadai		penebusan unit oleh acc ke pihak lain	AR																				
Teller		Merupakan suatu jabatan officer di servis yang bertugas untuk menerima dan mengamankan angsuran customer di cabang	Service																				
TENOR	Periode Kredit	Lama periode kredit	Underwriting																				
Tenor ASS		Jumlah tenor yang dipakai untuk premis asuransi	Sales																				
Threshold	Threshold	Batas minimum untuk pencapaian target (ex: 85% masih bisa kuning)	Underwriting																				
Tickmark		Pencontrengan untuk mengadjust CBO	AR																				
Time to Backlog	Time to Backlog	Waktu yang dibutuhkan dari customer tandatangan kontrak sampai go live	Underwriting																				
Time to Cash	Time to Cash	Waktu yang dibutuhkan dari ACC menerima tagihan AP dari dealer sampai dealer menerima pembayaran	Underwriting																				
Time to print contact		Waktu yang diperlukan oleh document prossecesor untuk mencetak satu dokumen kontrak	Underwriting																				
Time to print cremo		waktu yang diperlukan oleh document prossecesor untuk mencetak satu credit memo	Underwriting																				
timo		Titip memo	AR																				
TJH	Tanggung Jawab Hukum	Claim asuransi yang diberikan jika melibatkan kendaraan lain	Operation																				
TLO	Total Loss Only	proses klaim asuransi hanya dapat diajukan apabila terjadi kehilangan total (kerusakan >75% , pencurian)	Sales																				
TM	This month		AR																				
TMO	Telemarketing Officer	Pihak yang melakukan penawaran produk multiguna ACC melalui telephone untuk diarahkan pengurusan ke cabang terdekat.	Operation																				
TMV	Truck Motor Vehicle	Kategori unit pembiayaan alat berat	Fleet																				
Tonase		pembatasan jumlah muatan	Fleet																				
Tools MCS		Alat/Kriteria yang digunakan dalam proses audit MCS	Audit	tools yang digunakan dalam proses audit adalah KPI masing-masing karyawan cabang																			
top up	top up 	dimana jumlah hutang yang ada ditambah lagi dengan hutang yang baru 	sales																				
TOT OVER	Total Over	Total tunggakan yang harus dibayarkan customer s/d current	AR																				
Total Asset		Total nilai aktiva perusahaan	Finance																				
Total Principle		Jumlah Amount Finance dalam pembiayaan kredit	Sales																				
TR	Trainer Representatif	Orang-orang terpilih yang sudah mengikuti TTT dan dianggap mampu sebagai pengajar karyawan baru dalam suatu cabang	HC LM																				
TR	Tidak Rekomendasi	Status hasil Survei dari surveyor apabila surveyor tidak merasa customer sanggup untuk memenuhi kewajibannya apabila diberikan kredit	Underwriting																				
TR	Tidak Rekomen	Keputusan hasil survey bersifat tidak rekomen yang diberikan oleh surveyor sebagai pertimbangan dalam proses approval	Underwriting																				
TR	Trainer Representatif	Perwakilan dari cabang yang akan menjadi trainer di dalam preliminary dan basic training.	HC LM	"Tugas:
Memenuhi target  partisipasi 80% Preliminery di cabangnya
Menjadwalkan pelaksanaan training dengan tim LM
Mengajarkan materi Preliminery & PMN untuk setiap karyawan baru di cabang
Membuat report untuk dikirimkan kepada tim Learning Management berupa Absensi, evaluasi dan kuitansi max  3 hari setelah melakukan training"																			
Treasury		Merupakan aktifitas pencarian dana untuk modal kerja bisnis keuangan	Finance																				
TS	Terminal Service	Sistem yang digunakan untuk operasional ACC 	IT																				
TSO	Toyota Sales operation	Dealer direct yang bekerja sama langsung dengan ACC dalam penjualan unit toyota	Brand Toyota																				
TTB	Time to Backlog	Standar rentang waktu durasi aplikasi backlog	Underwriting																				
TTC	Time to Cash	Standar rentang waktu proses pelunasan biaya kredit oleh custumer ke dealer	Underwriting																				
TTD	Time to Decision	Waktu yang dibutuhkan dari proses wing to wing aplikasi in sampai approval (hasil reject maupun approve)	Underwriting																				
TTDD	Time to Doc Delivery	Standar rentang waktu proses pengiriman kontrak	Underwriting																				
TTS	Tanda Terima Sementara untuk Giro	Tanda terima sementara yang digunakan saat menerima giro	Service																				
TTS (Survey)	Time To Survey 	KPI dari departement surveyor yang digunakan untuk memantau jalanannya performance surveyor, dibatas waktu 2 jam untuk survey	Surveyor																				
TTT	Train The Trainer	Training yang dilakukan untuk membantu meningkatkan para trainer internal ACC dalam men-deliver knowledge agar siap untuk mengajar	HC LM																				
TTV	Time to Valid	Lama waktu yang dibutuhkan untuk valid suatu kontrak	Underwriting																				
TTY	Time To Yes	Waktu yang diselesikan dari aplikasi masuk bucket sampai aplikasi approve	Underwriting																				
TVC	Toyota Value Chain	Mata rantai dari Toyota. Salah satu mata rantai Toyota yaitu ACC. Pembiayaan non Bank terhadap unit yang mereka jual 	Sales 																				
TVIP	Toyota VIP	Kode Paket VIP acces untuk Brand Toyota	Sales 																				
type	avanza,agya	Salah satu jenis kendaraan seperti 1.3 VELOZ AT	Sales																				
UBS	Underwriting Basic Training	Training pembekalan selama 3 haru yang di berikan kepada karyawan baru Underwriting, yang berisikan dasar-dasar teknis skill underwriting	HC LM																				
UDP	Underwriting Development Program	Bagian dari program JLDP  berfokus pada bagian / divisi underwriting selama 4,5 Bulan	Underwriting																				
Udw	Underwriting	Suatu departemen di ACC	Underwriting																				
Understanding		Standar penilaian audit terhadap pemahaman divisi underwriting dalam mengisi MCS. officer mamahami esensi dari pekerjaan yang dikerjakan sesuai peraturan dan ketentuan management ACC	Audit MCS																				
Underwriting Hospital		pembinaan dan pengarahan terhadap officer Underwriting yang dilakukan setiap bulan untuk mengevaluasi kinerja officer yang targetnya tidak tercapai	Underwriting																				
Unit Accident		Unit pinjaman mengalami kecelakaan	AR																				
UNIT E,K,O	Unit (Ekstravaganza, Kurang Baik, Oh My God)	Kategori Unit untuk Multiguna 	Sales																				
Usage		officer mengaplikasikan setiap peraturan dan ketentuan sehingga menghasilkan produktifitas kerja	Audit MCS																				
Used Reg	Used Regular	istilah ini digunakan untuk penjualan unit dari Showroom/mobil bekas	SALES																				
UUS	Usaha Unit Syariah	Departemen yang membawahi kegiatan syariah	Unit usaha syariah																				
UW	Underwriting	Salah satu departmen terkait dengan proses analisa aplikasi yg masuk	Underwriting																				
UWA 1	Underwriting Admin 1	Posisi di underwriting yang bertugas sebagai validasi H+1	Underwriting																				
UWA 2		Jabatan di Underwriting yang berfungsi sebagai pengiriman copy kontrak. jabatan di Underwriting yang memiliki fungsi dalam pengiriman kontrak ke customer dan maintenance penerimaan kontrak	Underwriting																				
UWA 3		jabatan di Underwriting yang memiliki fungsi dalam filing dokumen kontrak yang siap dijadikan arsip ACC	Underwriting																				
Valid		Kontrak yang sudah di approve dan sudah dibayarkan ke dealer	Underwriting																				
Validasi		Proses valid suatu aplikasi yang dilakukan oleh AP Payment	Underwriting																				
Validasi		Merupakan aktivitas memeriksa keabsahan dokumen dengan cara mencocokan atau membandingkan dengan dokumen atau data yang lain	Underwriting																				
Validasi dokumen		Proses pengecekan keabsahan dokumen	Underwriting																				
Verifikasi		Memeriksa kebenaran data yang diterima 	Underwriting																				
Verifikasi		Merupakan aktivitas memeriksa kebenaran data dengan kondisi sebenarnya konsumen.	Operation	Dilakukan dengan 2 cara yaitu:																			
Verifikasi dokumen		Proses pengecekan ulang dokumen untuk meminimalisir kesalahan	Underwriting																				
VIP ACCESS		PAKET BUNGA RINGAN UNTUK DP DIATAS 25% DALAM RANGKA ULANG TAHUN ACC YANG KE 35 TAHUN	SALES																				
Vitamin		Reward untuk sales dealer yang aplikasinya in ke ACC	Sales																				
VOC	Voice Of Customer	Ucapan langsung dari customer tentang kondisi nyata yang dirasakan untuk digunakan sebagai landasan pengambilan data dalam proses perbaikan dan pengembangan	HC LM																				
Wanprestasi		Cedera janji/ingkar janji (mangkir bayar)	AR																				
Warning Letter	warning letter I, II, III	Surat peringatan kepada customer yang dikeluarkan jika over 3, 5, 17	AR																				
Wheel dop		Penutup velg mobil	Service																				
WLKP	Wajib Lapor Ketenagakerjaan di Perusahaan	pendaftaran jumlah tenaga kerja pada suatu perusahaan. Pendaftaran dimaksud untuk memperoleh data yang dapat memberikan gambaran mengenai ketenagakerjaan di perusahaan	HC IR	"1.UU No. 13 Tahun 2003 Tentang Ketenagakerjaan
2. UU No. 7 Tahun 1981 Tentang Wajib Lapor Ketenagakerjaan Di Perusahaan
3. Permenaker Nomor : Per.06/Men/1995 Tentang Tata Cara Pelaporan Ketenagakerjaan Di Perusahaan
"																			
WO	Write Off 	Penghapusan Account	AR																				
WO booking	Write Off booking	WO dari penjualan sebuah cabang yg masuk ke penanganan cabang lain	AR																				
WO handling	Write Off handling	Jumlah WO dari wilayah penanganan 1 cabang	AR																				
WO NETT BOOKING		Wo nett penjualan sebuah cabang yang berada di wilayah penanganan cabang lain (tanpa bunga)	AR																				
WO NETT HANDLING		Wo nett yang ada di wilayah penanganan cabang sendiri	AR																				
Workload		total waktu yang dibutuhkan untuk melakukan pekerjaan setiap officer	Underwriting																				
Worload Productivity		Untuk mengukur tingkat produktivitas/kesibukan officer dalam satu hari kerja	Underwriting																				
Xteady		Program reward ACC untuk dealer direct Daihatsu	SALES																				
XXOP		Status aplikasi pada sistem yang menerangkan aplikasi sedang dalam proses PPHK	Underwriting																				
YBS ATAS NAMA	Yang Bersangkutan	Customer yang melakukan ikat kontrak di ACC namun unit digunakan oleh orang lain	AR																				
Yellow Area City		Area dengan resiko kredit yang cukup tinggi dengan level Approval RROH	Underwriting																				
YTD	Year to date		AR																				
OVERDUE		Keterlambatan hari pembayaran dari jatuh tempo	AR																				
SURO	Special Unit Recovery Officer	Program recrutmen eksternal untuk menempati divisi Remo	REMO																				
Flag Writeoff		Kode pada sistem AOL yang menyatakan apakah aplikasi kontrak	AR																				
Otorisasi		Validasi yang dilakukan oleh pejabat yang berwenang	umum																				
QUERY DENDA		Menu yang dipakai untuk melihat total dan rincian denda customer	AR																				
QUERY SURAT		Menu yang dipakai untuk melihat kontrak-kontrak mana	AR																				
MAILING HISTORY		Menu yang digunakan untuk melihat history surat apa saja yang 	AR																				
BP	Broken Promise	cust yang tidak menepati JB nya	DeskColl																				
Kept		cust menepati janji	DeskColl																				
Agent		officer di deskcoll	DeskColl																				
insurance cancellation		nilai pembatalan asuransi 	Service																				
Principle Part of Unpaid Installment		total principal (tidak termasuk bunga) dari angsuran yang belum di bayar	AR																				
 Grace Period		Kolom pada menu aol yang akan menampilkan periode angsuran	Underwriting																				
		(dalam bulan) dimana cust tidak dikenai denda selama periode	AR																				
collection details		history penanganan collector	AR																				
KODE WORKGROUP		Kode wilayah kerja yang akan dialokasikan ke collector	AR																				
PRIORITY CODE		Kode prioritas	AR																				
KODE BREAKUP		Kode dari komponen/acsesoris kendaraan tarikan	AR																				
POSTCODE WISE		Pemindahan semua kontrak yang semula ada di bucket seorang 	AR																				
COLLECTOR WISE		Pemindahan semua kontrak yang semula ada di bucket seorang 	AR																				
WORKGROUP WISE		Pemindahan semua kontrak pada wilayah kerja/workgroup tertentu	AR																				
PDC DETAILS		Berisi data PDC customer jika ada pembayaran dengan PDC	AR																				
PAY SCHEDULE		berisi jadwal pembayaran angsuran customer	AR																				
AMT PENALTY		Besarnya nilai denda per angsuran	AR																				
AMT PENALTY PAID		Besarnya nilai denda yang sudah dibayar perangsuran	AR																				
RATE PENALTY		Besarnya bunga denda per hari	AR																				
INTEREST DUE		Nilai bunga untuk angsuran yang sudah jatuh tempo 	AR																				
CLR	CLEAR	Angsuran sudah dibayar	AR																				
UNP	Unpaid	Angsuran belum jatuh tempo	AR																				
CAR SELLING		Menu yang berfungsi untuk mengentry hasil penjualan/lelang	AR																				
CAR RETURNING		Menu yang berfungsi jika mobil inventory tersebut (sebelum dijual/	AR																				
SURO	Special Unit Recovery Officer	Progam recruitment untuk REMO baru	AR																				
Matel	Mata Elang	Eksternal yang membantu kolektor dalam pelacakan unit	AR																				
MID DAILY LOG		Kontroling by ARHH untuk ARHO yang sedang berada di lapangan	AR																				
Abubakar		Salah satu mafia mobil daerah DKI khususnya Tangerang	AR																				
Berkas Pelimpahan		Berkas-berkas yang dikumpulkan untuk keperluan pelaporan cust bermasalah ke Polisi	AR																				
COGS	Cost Of Good Sold	Harga pokok produksi	SALES																				
SUV	Sport Utility Vehicle	Kendaraan yang bisa menghadapi segala medan	SALES																				
HC	Human Capital	Departemen yang mengurus perkembangan karyawan ACC	HC OD																				
HP	Horse Power	Kendaraan untuk mengangkut beban berat 5-10 Ton	SALES																				
MPV	Multi Purpose Vehicle	Kendaraan Multifungsi	SALES																				
SPT	Surat Pajak Tahunan	Surat untuk pembayaran pajak tahunan	SALES																				
IMB	Ijin Mendirikan Bangunan		umum																				
IMC	Max Installment Ratio	Salah satu syarat yang harus dipenuhi oleh customer untuk membuka kredit di ACC	SALES																				
tenor kredit		jangka waktu pembayaran hutang	SALES																				
Bunga		Biaya jasa yang harus dibayarkan customer kredit	SALES																				
BFI		Salah satu kompetitor ACC 	umum																				
LK	Luar Kota	Wilayah yang berada di luar kota	Surveyor																				
DK 	Dalam Kota	Wilayah yang berada di dalam kota	Surveyor																				
Fleet		Pemesanan unit diatas 1M	SALES																				
Level ARHO		Level yang harus dicapai oleh setiap ARHO, minimal level 2	AR																				
RAIB		unit atau customer yang keberadaanya sudah tidak diketahui	AR																				
Blacklist		Customer yang bermasalah dan tidak bisa untuk kredit di ACC	AR																				
Garda Medika		Asuransi yang digunakan untuk karyawan ACC	HC PCBM																				
Arthaprima		Salah satu perusahaan pembiayaan yang menjadi saingan ACC	umum																				
Excoll	External Collektor	Kolektor yang bekerja sama dengan ACC tapi bukan Karyawan Internal ACC	AR																				
PDC Detail		Berisi data PDC customer jika ada pembayaran via PDC	Service																				
CLOS		Angsuran lunas sesuai tenor	AR																				
BOU		Angsuran yang mengalami overdue	AR																				
CAN		apabila pembayaran menggunakan PDC tidak sesuai kriteria	Service																				
CHQ		Pembayaran menggunakan cek	Service																				
CLR	Clear	Keterangan untuk angsuran sudah dibayar	AR																				
UNP	Unpaid	Keterangan untuk angsuran yang belum jatuh tempo 	AR																				
Over Prediksi		Prediksi overdue pada tanggal closingan	AR																				
Notepad		Berisi history catatan/keterangan penanganan tambahan dari collector dan supervisor	AR																				
Amount Ovd	Amount Overdue	Saldo yang menunggak	AR																				
Dt. Simulation	Date Simulation	Tanggal yang diinginkan untuk simulasi	Service																				
Rate Penalty		Besar bunga denda/hari	AR																				
Total Penalty		Besarnya nilai total amount denda	AR																				
Penalty Paid		Besarnya nilai denda yang sudah dibayar customer	AR																				
Bal. Penalty	Balance Penalty	Besarnya nilai denda yang belum dibayar customer	AR																				
No. Inst.	Nomor instalment	Angsuran ke	AR																				
Status Inst.	Status Instalment	Status Angsuran	AR																				
Amt. Inst.	Amount Instalment	Besarnya nilai angsuran	AR																				
Amt. Paid	Amount Paid	Besarnya nilai angsuran yang sudah dibayar customer	AR																				
Day Ovd	Day Overdue	Jumlah hari overdue	AR																				
Amt. Penalty	Amount Penalty	Besarnya nilai denda per angsuran	AR																				
Amt. Penalty Paid	Amount Penalty Paid	Besarnya nilai denda yang sudah dibayar per angsuran	AR																				
Discount on Penalty		Diskon denda	AR																				
Repossession Cost		Biaya Tarik	AR																				
BP	Broken Promise	customer yang tidak menempati janji bayar	AR																				
Agent		Officer di Deskcoll	AR																				
Priority Code		Kode prioritas	AR																				
PDC Detail		Berisi data PDC customer jika ada pembayaran dengan PDC	AR																				
Insurance Cancellation		Nilai pembatalan asuransi	AR																				
Interest Due		Nilai bunga untuk angsuran yang sudah jatuh tempo	AR																				
SURO	Spesial Unit Recovery Officer	Program rekrutmen eksternal untuk divisi REMO	AR																				
Otorisasi		Validasi yang dilakukan oleh pejabat yang berwenang	AR																				
Kept		Customer menempati janji	AR																				
Collection Detail		History penanganan collector	AR																				
Kode Workgroup		Kode wilayah kerja yang akan dialokasikan ke customer	AR																				
AAT	Armada Auto Tara	Dealer indirect yang bekerjasama dengan TAM dalam penjualan unit daihatsu.	Sales																				
Ach Compree		Presentasi pencapian fpd selama  tidak lebih dari 30 hari	Underwriting (SUW)																				
Ach Snap		Presentasi pencapian fpd selama  tidak lebih dari 7 hari	Underwriting (SUW)																				
Adira Finance		Perusahaan kompetitor dalam pembiayaan mobil new dan used.	Sales																				
BCA FINANCE	Bank Central Asia Finance	Perusahaan kompetitor dalam pembiayaan mobil new dan used.	Sales																				
BLCB	Basic Leadership Character Building	Training untuk pengembangan leadership dan karakter karyawan menjadi golongan 3D.	HC LM																				
Brand Manager		Bertugas untuk membuat strategi penjualan brand toyota, daihatsu, used dan isuzu.	Sales																				
CL	Close	Status di sistem yang berarti selesai.	Underwriting (SUW)																				
CSV	Coma Spirit Values	File format yang digunakan untuk membaca tadi.	Underwriting (SUW)																				
DC	Document Checking	Status memerika document di CA 1 di sistem.	Underwriting (SUW)																				
DE	Data Entry	Input data aplikasi oleh sales officer	Underwriting (SUW)																				
Eskalasi		Kenaikan improvement.	Underwriting (SUW)																				
FH	Functional Head	Fungsi jabatan di cabang ACC.	Underwriting (SUW)																				
Honda Arista		Dealer non Astra untuk honda.	Sales																				
Karya Zirang Utama		Dealer indirect untuk Isuzu.	Sales																				
L5MV	Last five mont valid	Aplikasi yang valid selama lima bulan terakhir.	Underwriting (SUW)																				
Mandiri Tunas Finance		Perusahaan kompetitor dalam pembiayaan mobil new dan used.	Sales																				
Maybank Finance		Perusahaan kompetitor dalam pembiayaan mobil new dan used.	Sales																				
Mitsui Leasing		Perusahaan kompetitor dalam pembiayaan mobil new dan used.	Sales																				
Mobil 88		Dealer direct untuk used car.	Sales																				
NB	Naik Banding	Aplikasi yang di fight oleh Sales	Underwriting (SUW)																				
Otto MultiArtha		Perusahaan kompetitor dalam pembiayaan mobil new dan used.	Sales																				
Potong Atas		Diskon otr	Sales																				
Potong Bawah		DP - Diskon	Sales																				
Proper hand-over		Untuk karyawan baru dan jika karyawan yang lama berhalangan atau resign, semua masalah - masalah yang dihadapi sudah tercatat dan dapat dijadikan referensi bagi karyawan baru untuk memahami masalah yang ada.	HC IR																				
SK Kemkumham	Surat Keterangan Kementrian hukum & Ham	Data yang dibutuhkan untuk aplikasi dari perusahaan.	Underwriting (SUW)																				
SMART	Specific Measurable Agresive Relevant Time	Tools yang digunakan untuk membuat improvement.	HC LM																				
TAF	Toyota Astra Finance	Anak perusahaan Astra bergerak dalam financial services yang menjadi kompetitor ACC.	Sales																				
UC	Underwriting Cordinator	Salah satu jabatan di departemen underwriting.	Underwriting																				
UWO	Underwriting Officer	Salah satu jabatan di departemen underwriting.	Underwriting																				
Maping	Memetakan	Istilah yang dugunakan untuk memetakan departemen, bagian, perorangan, atau subjek tertentu dengan detail	umum																				
Garda Medika	Asuransi Kesehatan Astra	Asuransi Kesehatan Astra	HC PCBM																				
Resi E-KTP	Resi Elektronik Kartu Tanda Penduduk	Surat sementara pengganti E KTP	umum																				
Cap Basah	Cap Basah	Stempel asli dari pejabat pemerintahan	umum																				
KKB BCA	Kredit Kendaraan Bermotor Bank Central Asia	Kredit Kendaraan Bermotor Bank Central Asia	umum																				
MTF	Mandiri Tunas Finance	Mandiri Tunas Finance	umum																				
Astrido	Akita Prima Mobilindo	Dealer Indirect Toyota	umum																				
OMA	OTO Multiartha	Leasing	umum																				
Pivot	Pivot	Fitur Excel untuk menegelompokkan data tabel	umum																				
Excoll	External Collector	Kolektor eksternal ACC	umum																				
Pover	Prediksi Overdue	Prediksi keterlambatan bayar customer	Underwriting (SUW)																				
E (Kategori unit multiguna)	E (Kategori unit multiguna)	Unit benar-benar bagus, fast moving	MULTIGUNA																				
K (Kategori unit multiguna)	K (Kategori unit multiguna)	Untit menengah, pick up	MULTIGUNA																				
O (Kategori unit multiguna)	O (Kategori unit multiguna)	Unit jelek, truck, double cabin	MULTIGUNA																				
App. Log	Aplication Log	Proses aplikasi yang terekam sistem AOL	Underwriting (SUW)																				
Badcust	Bad Customer	Customer dengan history pembayaran buruk	umum																				
P/C	Personal / Company	Customer apakah peroranagan atau perusahaan, input aol	Underwriting (SUW)																				
RO/AO	Repeat Order/Additional Order	Tombol pencarian history customer di sistem aol	umum																				
Present Co	Present Company	Pekerjaan sekarang	Underwriting (SUW)																				
Previous Co	Previous Company	Pekerjaan sebelumnya	Underwriting (SUW)																				
Frek. Tolakan	Frekuensi Tolakan	Jumlah tolakan tarikan kliring (dalam) dan jumlah tolakan setoran kliring (luar)	Service																				
Funding Co	Funding Company	Diisi dengan nama dokumen PT Crosselling - F5	Underwriting (SUW)																				
KIMS	Kartu Ijin Menetap Sementara	Kartu Ijin Menetap Sementara, untuk WNA	Underwriting (SUW)																				
BTM	Brand/Type/Mode	Merk, tipe, model	Underwriting																				
B (Status Survey)	B (Status Survey)	Belum diorder ke surveyor lapangan	Underwriting																				
C (Status Survey)	C (Status Survey)	Sudah diorder ke surveyor lapangan	Underwriting																				
D (Status Survey)	D (Status Survey)	Hasil survey sudah dientry oleh base master	Underwriting																				
P3	Pihak Ke 3	Pihak yang dijadikan tempat melarikan unit atau memindahkan unit yang dibiayai oleh ACC	AR																				
TAF	Toyota Astra Finance	Competitor sekaligus saudara finser astra yang bermain di wilayah yang sama yaitu pembiayaan kendaraan di dealer AI TSO dan AI DSO	Sales																				
Maybank		PT Bank Maybank Indonesia Tbk (“Maybank Indonesia” atau “Bank”) adalah salah satu bank swasta terkemuka di Indonesia yang merupakan bagian dari grup Malayan Banking Berhad (Maybank), salah satu  grup penyedia layanan keuangan terbesar di ASEAN	Sales																				
WOM Finance	Wahana Ottomitra Multiartha	Anak Perusahaan dari Maybank yang bergerak di bidang pembiayaan kendaraan bermotor	Sales																				
KKB BCA	Kredit Kendaraan Bermotor BCA	kredit kendaraan bermotor yang ditawarkan oleh BCA 	Sales																				
MUF	Mandiri Utama Finance	Anak Perusahaan dari bank mandir yang berfokus di pembiayaan kendaraan bermotor	Sales																				
MTF	Mandiri Tunas Finance 	Anak Perusahaan dari bank mandir yang berfokus di pembiayaan kendaraan bermotor	Sales																				
Resign		Mengundurkan diri dari jabatan 	HC IR																				
Batal DO	Batal Delivery Order	Konsumen melakukan pembatalan pembelian mobil	SALES																				
SS	Sales Surpevisor	Sebagai tangan kanan Kepala cabang di Dealer yang langsung berhubungan dengan para sales kendaraan di dealer	SALES																				
Aplikasi Daging		Aplikasi yang memiliki DP Besar, secara kapasitas cukup, dan secara nilai scoring memuaskan	Sales																				
Aplikasi Tulang		Aplikasi dengan DP kecil, secara kapasitas meragukan dan biasanya nilai scoring nya kecil	Sales																				
Excoll	External Collector	Remo external yang bekerja sama dengan acc dengan tujuan untuk mendapatkan unit secepatnya	AR																				
SURO	Special unit recovery officer	Unit khusus yang diciptakan untuk membantu melakukan collection	AR																				
Permata Bank		Bank yang bekerja sama dengan ACC terutama untuk pembayaran dengan autodebet	umum																				
Adira Finance 	Adira dinamika multi finance	Perusahaan pembiayaan yang merupakan salah satu saingan ACC di lapangan	Sales																				
BFI 	BFI Finance Indonesia 	Perusahaan pembiayaan yang merupakan salah satu saingan ACC di lapangan	sales																				
Finser	Financial service	Unit usaha yang bergerak di bidang keuangan	umum																				
mutasi jabatan		Perpindahan cabang yang di handle	HC TPM																				
Taxi Online		usaha yang bergerak di transportasi secara online seperti grab, uber, dll	umum																				
sumbagut	Sumatera bagian utara	daerah penanganan acc yang terletak di bagian utara sumatera	umum																				
sumbagsel	sumatera bagian selatan	daerah penanganan acc yang terletak di bagian selatan sumatera	umum																				
kremo	kredit memo	detail aplikasi kredit	Underwriting																				
Jabar	jawa barat	Daerah penanganan ACC yang terletak di jawa barat	umum																				
Jateng	Jawa tengah	Daerah penanganan ACC yang terletak di jawa tengah	umum																				
Jatim	Jawa Timur	Daerah penanganan ACC yang terletak di jawa timur	umum																				
SK Daging	Surat Kuasa Daging	SK yang konsumennya jelas alamatnya, unitnya terlihat, bukan p3	AR																				
SK Tulang	Surat Kuasa Tulang	SK yang konsumennya tidak jelas alamatnya, unitnya tidak terlihat.	AR																				
SK	Surat Kerja	Surat yang diberikan kepada collector intern kita (ARRO) untuk melakukan recovery unit	AR																				
Koreksi absen		Hal yang dilakukan insan ACC ketika ada sesuatu yang menghalangi dia untuk melakukan absen tepat waktu	HC PCBM																				
Retur		Istilah untuk kegagalan pengiriman copy contract ke customer	Underwriting																				
Reprint		Proses penambahan data-data baru dan pemberian header nomer kontrak pada dokumen kontrak setelah menerima PO dan tagihan dari dealer	Underwriting																				
Resign		Proses pemutusan hubungan kerja yang dilakukan karyawan	HC TPM																				
SPKH	Surat Perjanjian Ketaatan Hukum	Suatu surat perjanjian antara ACC dan Customer serta pihak-pihak terkait yang menyatakan bahwa selama masa pembiayaan, customer wajib menaati semua peraturan yang dibuat dan disetujui secara hukum oleh customer dan ACC	Underwriting																				
BOD	Board of Director	Jajaran Direktur ACC	HC OD																				
Outsource		SDM ACC yang didapatkan melalui rekomendasi vendor luar	HC OD																				
CA 2	Credit Admin 2	Officer pada departemen Underwriting yang bertugas dalam pengurusan fidusia	Underwriting																				
C1	Character	Kode penulisan di hasil survey untuk menunjukkan adanya hal yang harus diperhatikan atau dipertimbangkan lebih pada karakter customer	Underwriting																				
C2	Capacity	Kode penulisan di hasil survey untuk menunjukkan adanya hal yang harus diperhatikan atau dipertimbangkan lebih pada kapasitas customer	Underwriting																				
C3	Capital	Kode penulisan di hasil survey untuk menunjukkan adanya hal yang harus diperhatikan atau dipertimbangkan lebih pada aset customer	Underwriting																				
C4	Condition	Kode penulisan di hasil survey untuk menunjukkan adanya hal yang harus diperhatikan atau dipertimbangkan lebih pada kondisi eksternal yang dapat mempengaruhi customer	Underwriting																				
C5	Collateral	Kode penulisan di hasil survey untuk menunjukkan adanya hal yang harus diperhatikan atau dipertimbangkan lebih pada jaminan customer	Underwriting																				
